StreamName, MaxE2E(us), Deadline(us), Path
Stream_1, 14.485, 5544.0, ES_1:Link_1:1->Switch_1:Link_12:4->Switch_2:Link_3:1->ES_3
Stream_2, 19.25, 5544.0, ES_1:Link_1:1->Switch_1:Link_12:4->Switch_2:Link_14:5->Switch_3:Link_5:1->ES_5
Stream_3, 21.334, 5544.0, ES_1:Link_1:1->Switch_1:Link_12:4->Switch_2:Link_14:5->Switch_3:Link_6:2->ES_6
Stream_4, 21.334, 5544.0, ES_1:Link_1:1->Switch_1:Link_12:4->Switch_2:Link_14:5->Switch_3:Link_6:2->ES_6
Stream_5, 15.321, 5544.0, ES_2:Link_2:1->Switch_1:Link_12:4->Switch_2:Link_3:1->ES_3
Stream_6, 8.536, 5544.0, ES_2:Link_2:1->Switch_1:Link_12:4->Switch_2:Link_14:5->Switch_3:Link_5:1->ES_5
Stream_7, 11.288, 5544.0, ES_2:Link_2:1->Switch_1:Link_11:3->Switch_4:Link_8:2->ES_8
Stream_8, 21.218, 5544.0, ES_2:Link_2:1->Switch_1:Link_12:4->Switch_2:Link_14:5->Switch_3:Link_6:2->ES_6
Stream_9, 15.617, 5544.0, ES_3:Link_3:1->Switch_2:Link_14:5->Switch_3:Link_6:2->ES_6
Stream_10, 8.832, 5544.0, ES_3:Link_3:1->Switch_2:Link_13:4->Switch_5:Link_9:1->ES_9
Stream_11, 10.771, 5544.0, ES_3:Link_3:1->Switch_2:Link_12:3->Switch_1:Link_11:3->Switch_4:Link_7:1->ES_7
Stream_12, 6.848, 5544.0, ES_3:Link_3:1->Switch_2:Link_13:4->Switch_5:Link_10:2->ES_10
Stream_13, 11.288, 5544.0, ES_4:Link_4:1->Switch_2:Link_12:3->Switch_1:Link_2:2->ES_2
Stream_14, 9.101, 5544.0, ES_4:Link_4:1->Switch_2:Link_13:4->Switch_5:Link_9:1->ES_9
Stream_15, 18.0, 5544.0, ES_4:Link_4:1->Switch_2:Link_12:3->Switch_1:Link_11:3->Switch_4:Link_7:1->ES_7
Stream_16, 5.539, 5544.0, ES_4:Link_4:1->Switch_2:Link_3:1->ES_3
Stream_17, 5.744, 5544.0, ES_5:Link_5:1->Switch_3:Link_6:2->ES_6
Stream_18, 10.709, 5544.0, ES_5:Link_5:1->Switch_3:Link_14:3->Switch_2:Link_3:1->ES_3
Stream_19, 15.693, 5544.0, ES_5:Link_5:1->Switch_3:Link_14:3->Switch_2:Link_12:3->Switch_1:Link_11:3->Switch_4:Link_8:2->ES_8
Stream_20, 15.914, 5544.0, ES_5:Link_5:1->Switch_3:Link_14:3->Switch_2:Link_12:3->Switch_1:Link_11:3->Switch_4:Link_7:1->ES_7
Stream_21, 9.227, 5544.0, ES_6:Link_6:1->Switch_3:Link_14:3->Switch_2:Link_4:2->ES_4
Stream_22, 9.227, 5544.0, ES_6:Link_6:1->Switch_3:Link_14:3->Switch_2:Link_4:2->ES_4
Stream_23, 14.671, 5544.0, ES_6:Link_6:1->Switch_3:Link_14:3->Switch_2:Link_12:3->Switch_1:Link_1:1->ES_1
Stream_24, 20.503, 5544.0, ES_6:Link_6:1->Switch_3:Link_14:3->Switch_2:Link_12:3->Switch_1:Link_11:3->Switch_4:Link_8:2->ES_8
Stream_25, 8.796, 5544.0, ES_7:Link_7:1->Switch_4:Link_15:4->Switch_5:Link_10:2->ES_10
Stream_26, 8.139, 5544.0, ES_7:Link_7:1->Switch_4:Link_11:3->Switch_1:Link_12:4->Switch_2:Link_3:1->ES_3
Stream_27, 5.718, 5544.0, ES_7:Link_7:1->Switch_4:Link_15:4->Switch_5:Link_9:1->ES_9
Stream_28, 8.796, 5544.0, ES_7:Link_7:1->Switch_4:Link_15:4->Switch_5:Link_10:2->ES_10
Stream_29, 7.768, 5544.0, ES_8:Link_8:1->Switch_4:Link_11:3->Switch_1:Link_2:2->ES_2
Stream_30, 26.675, 5544.0, ES_8:Link_8:1->Switch_4:Link_11:3->Switch_1:Link_12:4->Switch_2:Link_14:5->Switch_3:Link_6:2->ES_6
Stream_31, 6.027, 5544.0, ES_8:Link_8:1->Switch_4:Link_7:1->ES_7
Stream_32, 5.794, 5544.0, ES_8:Link_8:1->Switch_4:Link_15:4->Switch_5:Link_10:2->ES_10
Stream_33, 17.113, 5544.0, ES_9:Link_9:1->Switch_5:Link_13:3->Switch_2:Link_14:5->Switch_3:Link_5:1->ES_5
Stream_34, 20.459, 5544.0, ES_9:Link_9:1->Switch_5:Link_13:3->Switch_2:Link_14:5->Switch_3:Link_5:1->ES_5
Stream_35, 9.087, 5544.0, ES_9:Link_9:1->Switch_5:Link_13:3->Switch_2:Link_4:2->ES_4
Stream_36, 8.81, 5544.0, ES_9:Link_9:1->Switch_5:Link_13:3->Switch_2:Link_14:5->Switch_3:Link_5:1->ES_5
Stream_37, 8.165, 5544.0, ES_10:Link_10:1->Switch_5:Link_15:4->Switch_4:Link_7:1->ES_7
Stream_38, 7.161, 5544.0, ES_10:Link_10:1->Switch_5:Link_9:1->ES_9
Stream_39, 8.349, 5544.0, ES_10:Link_10:1->Switch_5:Link_15:4->Switch_4:Link_11:3->Switch_1:Link_2:2->ES_2
Stream_40, 23.308, 5544.0, ES_10:Link_10:1->Switch_5:Link_13:3->Switch_2:Link_14:5->Switch_3:Link_6:2->ES_6
